WeaponData
{
	"printname"					"#weapon_MG43"
	"BulletSpreadDegreesBipodIronsighted"	"2" //degrees

	// Bullet spread multiplier according to current stance; 0-1 will lessen spread; 1-inf will increase spread
	"StandMoveSpreadMultiplier"	"1.65"
	"CrouchSpreadMultiplier"	"0.75"
	"CrouchMoveSpreadMultiplier"	"1.45"
	"ProneSpreadMultiplier"		"0.65"
	"SneakMoveSpreadMultiplier"	"1.55"
	"JumpSpreadMultiplier"		"3"
	//---
	
	// camera shake - does not affect accuracy
	"ShakeScale"				"0.5" //camera shake effect, does not affect accuracy // 2.25
	"ShakeFreq"					"50" //how many shakes per second
	"ShakeDuration"				"0.3" //sec

	// weapon recoil kick - minimal | all in degrees
//	"ViewMinKickPITCH"				""
//	"ViewMinKickYAW"				""
//	"ViewMinKickROLL"				""
	// weapon recoil kick - maximal | all in degrees
//	"ViewKickPITCH"					""
//	"ViewKickYAW"					""
//	"ViewKickROLL"					""
	//---

	// fixed view slide from recoil
	ViewSlideRecoil
	{
		"Up"				"2.72"
		"Right"				"1.28"
//		"Up_max" 			""
//		"Right_max"			""
	}
	// fixed view slide from recoil when aiming down sights
	ViewSlideRecoilIronsight
	{
		"Up"				"1.92"
		"Right"				"0.92"
//		"Up_max" 			""
//		"Right_max"			""
	}
	"ViewSlideRecoilTransitionTimeSeconds"		"0.25" // how fast the aiming recoil will change when you start/stop ADS
	//---
	
//	"UseScopecamera"			""
//	"BlurScope"					"" // bool - do we blur around the scope?
//	"DofFocusDist"				"" // override depth of field focal distance
//	"DofScale"					"" // override depth of field strength when aiming

	// aiming down sights:	
	"IronSight"					"1" //0 - not available to ADS with
	"IronsightSpeedScale"		"0.55" //how long ironsight transition will last
	"IronsightedFovOffset"		"-15" //degrees added when ADS
//	"ScopeLensFov"					"" // degrees fov, absolute value
//	"ScopeLensFov2"					"" // ditto for second zoom level
//	"ScopeLensTeleFovScale"			"" // render-target scale for expensive scopes. best to experiment in-game.
	// viewmodel offsets when ADS - both ironsight and scope - all in units
	"ironsightforward"			"-3"
	"ironsightforward"			"-10"
	"ironsightright"			"0"
	"ironsightup"				"0"
	"ironsightpitch"			"0"
	"ironsightyaw"				"0"
	"ironsightroll"				"0"
	//---
	"ironsightwalkbobbingstrength"			"-0.25"
	
	// non-projectile-based weapons only
	"CrosshairMinDistance"		"4"
	"CrosshairDeltaDistance"	"4"
	//---

	// viewmodel offset in non-ironsighted case
	CustomOffset
	{
		"forward"					"0"
		"right"						"0"
		"up"						"0"
		"pitch"						"0"
		"yaw"						"0"
		"roll"						"0"
	}
	//---
	
	"NearwallDistance"			"45" //hammer units
	"recoilpushbackvalue"		"0.5"

	// Zombie Mode
	"ZMBuyPrice"				"5800"
	"ZMWeight"					"5"
	// if anything is modified for zombies mode:
	zombie_stats
	{
		"clip_size"					"50/200"
	}
	//---
	
	// Day of Victory
	// if anything is modified for DoV:
	dov_stats
	{
		"clip_size"							"75/375"
		"default_clip"						"75"
		"BulletSpreadDegrees"				"16.0"
		"BulletSpreadDegreesIronsighted"	"12.8"
		"BulletSpreadDegreesBipod"			"1.60"
		"BulletSpreadDegreesBipodIronsighted"	"1.28"
		"rangemodifier"							"0.98"
		"IronsightSpeedScale"					"0.5"
		"CrouchSpreadMultiplier"				"1.00"
		"ProneSpreadMultiplier"					"1.00"
		"StandMoveSpreadMultiplier"				"2.00"
		"SneakMoveSpreadMultiplier"				"1.50"
		"CrouchMoveSpreadMultiplier"			"1.25"
		"JumpSpreadMultiplier"					"2.50"
		"DamageHeadMultiplier"					"2.5"
		"DamageChestMultiplier"					"1.0"
		"DamageStomachMultiplier"				"1.0"
		"DamageLegMultiplier"					"0.75"
		"DamageArmMultiplier"					"0.75"
		"DamageGeneric"							"60"
		ViewSlideRecoil
		{
			"Up"				"9.00"
			"Right"				"2.80"
		}
		ViewSlideRecoilIronsight
		{
			"Up"				"9.00"
			"Right"				"2.20"
		}
		"weight"				"15"
		"IronSight"				"0"
	}
	//---
	
	// Sounds for the weapon. There is a max of 16 sounds per category (i.e. max 16 single_shot sounds)
	SoundData
	{
		"single_shot"				"Weapon_MG43.Single"
		"double_shot"				""
		"reload"					""
		"special1"					""
		"special2"					""
		"nearlyempty"				"Weapon_Generic.NearlyEmptyClick_LMG"
		"empty"						"Weapon_Generic.ClipEmpty_01"
		"melee_hit"					""
		"melee_hit_world"			""
		
		// NPC SECTION
		"single_shot_npc"			""
		"double_shot_npc"			""
		"reload_npc"				""
		
		// 3RD PERSON PLAYER SECTION
		"player_reload"				"Weapon_Foley_ThirdPerson_MG43.Reload"
		"player_reload_loop"		""
		"player_reload_cycle"		""

		"player_grenade_pullpin"	""
		"player_grenade_on"			""
		"player_equipment_on"		"Weapon_Foley_ThirdPerson_Shared.BipodOn"
		"player_equipment_off"		"Weapon_Foley_ThirdPerson_Shared.BipodOff"
		"player_deploy"				"Weapon_Foley_ThirdPerson_Shared.Draw"
		"player_holster"			"Weapon_Foley_ThirdPerson_Shared.Holster"
		"player_bash"				"Weapon_Foley_ThirdPerson_Shared.BashSlow"
	}
	//
	
	////////////////////////////
	// Weapon Particles Start //
	////////////////////////////
	
 	"MuzzleParticle"						"vietnam_muzzleflash_machinegun_type2_fp" //"null" will disable
 	"MuzzleParticle_Smoke"					"vietnam_muzzleflash_machinegun_type1_fp_smoke" //"null" will disable
 	"MuzzleParticle_Ironsighted"			"vietnam_muzzleflash_machinegun_type2_fp_is" //"null" will disable
 	"MuzzleParticle_IronsightedSmoke"		"vietnam_muzzleflash_machinegun_type1_fp_is_smoke" //"null" will disable
	
	"MuzzleParticle3rdPerson"	"vietnam_muzzleflash_machinegun_type2_tp"
	"ParticleAttachType"		"1" //0 - PATTACH_POINT; 1 - PATTACH_POINT_FOLLOW

	"MuzzleSmokeParticle"		"vietnam_muzzleflash_generic_aftersmoke"
	"MuzzleSmokeShotCount"		"5"

	"EjectBrassType"			"9" //792X57MA
	"EjectBrassTrail"			"vietnam_weaponeffect_shelleject_trail"
	"EjectBrassParticle"		"vietnam_weaponeffect_shelleject_side_mg_m60" //"null" will disable
	"EjectBrassSound"			"Bounce.Shell"
	
	"EjectMiscModel"					""
	"EjectMiscSound"					""
	
	"TracerParticle"			"vietnam_tracer_machinegun_green_primary" //"null" will disable
	"TracerParticle2"			"vietnam_tracer_machinegun_green_secondary" //"null" will disable
	"TracerRandomness"			"6"
	"TracerFrequency"			"1"
	
//	"MuzzleLight"						"" // "None" will disable projected muzzleflash
//	"MuzzleLightBrightnessLower"		"" // Random brightness is chosen between this Lower - Upper range
//	"MuzzleLightBrightnessUpper"		""
//	"MuzzleLightFOVLower"				""
//	"MuzzleLightFOVUpper"				""
//	"MuzzleLightDuration"				""
//	"MuzzleLightFadeIn"					""
//	"MuzzleLightFadeOut"				""
//	"MuzzleLightDistance"				""
	
	//////////////////////////
	// Weapon Particles End //
	//////////////////////////
}
