WeaponData
{
	"printname"					"#weapon_VZ24"
	"EjectBrassTrail"			"vietnam_weaponeffect_shelleject_trail"
	"EjectBrassParticle"		"vietnam_weaponeffect_shelleject_side" //"null" will disable
	"EjectBrassSound"			"Bounce.Shell"
	
	"EjectMiscModel"					""
	"EjectMiscSound"					""
	
	"TracerParticle"			"vietnam_tracer_sniperrifle_green_primary" //"null" will disable
	"TracerParticle2"			"vietnam_tracer_sniperrifle_green_secondary" //"null" will disable
	"TracerRandomness"			"6"
	"TracerFrequency"			"1"
	
//	"MuzzleLight"						"" // "None" will disable projected muzzleflash
//	"MuzzleLightBrightnessLower"		"" // Random brightness is chosen between this Lower - Upper range
//	"MuzzleLightBrightnessUpper"		""
//	"MuzzleLightFOVLower"				""
//	"MuzzleLightFOVUpper"				""
//	"MuzzleLightDuration"				""
//	"MuzzleLightFadeIn"					""
//	"MuzzleLightFadeOut"				""
//	"MuzzleLightDistance"				""
	
	//////////////////////////
	// Weapon Particles End //
	//////////////////////////
}
